 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  aringerCkmh_3400_600.inp                                              
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Stellar spectrum supplied from file:
  aringerC_3400_resampled.dat                                           
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  0.000  1.000  0.000  0.000  0.000  0.000
  KMH size distribution:
       Power q:  3.5
  Minimal size: 1.00E-02 microns
  Characteristic size: 1.00E+00 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 600  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 1533 K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
   1 1.00E-01 1.76E+04 4.17E+14 1.80E+02 3.11E+00   19   0  1.81E-06 1.01E+01 1.12E+00
   2 1.06E-01 1.74E+04 4.19E+14 1.80E+02 3.12E+00   19   0  1.90E-06 1.02E+01 1.15E+00
   3 1.13E-01 1.73E+04 4.20E+14 1.81E+02 3.14E+00   19   0  2.00E-06 1.03E+01 1.18E+00
   4 1.21E-01 1.72E+04 4.22E+14 1.82E+02 3.15E+00   19   0  2.11E-06 1.04E+01 1.20E+00
   5 1.29E-01 1.71E+04 4.23E+14 1.82E+02 3.16E+00   19   0  2.22E-06 1.04E+01 1.23E+00
   6 1.37E-01 1.69E+04 4.25E+14 1.83E+02 3.17E+00   19   0  2.33E-06 1.05E+01 1.26E+00
   7 1.46E-01 1.68E+04 4.27E+14 1.84E+02 3.19E+00   19   0  2.45E-06 1.06E+01 1.28E+00
   8 1.55E-01 1.66E+04 4.29E+14 1.85E+02 3.20E+00   19   0  2.58E-06 1.06E+01 1.31E+00
   9 1.65E-01 1.65E+04 4.31E+14 1.86E+02 3.22E+00   19   0  2.72E-06 1.07E+01 1.34E+00
  10 1.76E-01 1.63E+04 4.33E+14 1.87E+02 3.23E+00   19   0  2.86E-06 1.07E+01 1.36E+00
