 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  aringerCkmh_3200_600.inp                                              
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Stellar spectrum supplied from file:
  aringerC_3200_resampled.dat                                           
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  0.000  1.000  0.000  0.000  0.000  0.000
  KMH size distribution:
       Power q:  3.5
  Minimal size: 1.00E-02 microns
  Characteristic size: 1.00E+00 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 600  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 1541 K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
   1 1.00E-01 1.80E+04 4.12E+14 1.78E+02 3.07E+00   19   0  1.77E-06 1.00E+01 1.09E+00
   2 1.06E-01 1.79E+04 4.13E+14 1.78E+02 3.08E+00   19   0  1.86E-06 1.01E+01 1.11E+00
   3 1.13E-01 1.78E+04 4.15E+14 1.79E+02 3.10E+00   19   0  1.96E-06 1.02E+01 1.14E+00
   4 1.21E-01 1.76E+04 4.16E+14 1.79E+02 3.11E+00   19   0  2.06E-06 1.03E+01 1.17E+00
   5 1.29E-01 1.75E+04 4.18E+14 1.80E+02 3.12E+00   19   0  2.17E-06 1.03E+01 1.19E+00
   6 1.37E-01 1.74E+04 4.20E+14 1.81E+02 3.13E+00   19   0  2.28E-06 1.04E+01 1.22E+00
   7 1.46E-01 1.72E+04 4.21E+14 1.81E+02 3.14E+00   19   0  2.40E-06 1.05E+01 1.24E+00
   8 1.55E-01 1.71E+04 4.23E+14 1.82E+02 3.16E+00   19   0  2.52E-06 1.05E+01 1.27E+00
   9 1.65E-01 1.69E+04 4.25E+14 1.83E+02 3.17E+00   19   0  2.66E-06 1.06E+01 1.30E+00
  10 1.76E-01 1.68E+04 4.27E+14 1.84E+02 3.19E+00   19   0  2.79E-06 1.06E+01 1.32E+00
  11 1.87E-01 1.66E+04 4.29E+14 1.85E+02 3.20E+00   19   0  2.94E-06 1.07E+01 1.35E+00
  12 1.99E-01 1.64E+04 4.32E+14 1.86E+02 3.22E+00   19   0  3.09E-06 1.07E+01 1.37E+00
  13 2.12E-01 1.62E+04 4.34E+14 1.87E+02 3.24E+00   18   0  3.26E-06 1.08E+01 1.40E+00
  14 2.26E-01 1.61E+04 4.36E+14 1.88E+02 3.26E+00   18   0  3.43E-06 1.08E+01 1.43E+00
