 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  aringerCkmh_2600_600.inp                                              
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Stellar spectrum supplied from file:
  aringerC_2600_resampled.dat                                           
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  0.000  1.000  0.000  0.000  0.000  0.000
  KMH size distribution:
       Power q:  3.5
  Minimal size: 1.00E-02 microns
  Characteristic size: 1.00E+00 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 600  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 1557 K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
   1 1.00E-01 1.88E+04 4.03E+14 1.74E+02 3.01E+00   19   0  1.70E-06 9.86E+00 1.03E+00
   2 1.06E-01 1.87E+04 4.04E+14 1.74E+02 3.02E+00   19   0  1.79E-06 9.94E+00 1.05E+00
   3 1.13E-01 1.86E+04 4.06E+14 1.75E+02 3.03E+00   19   0  1.88E-06 1.00E+01 1.08E+00
   4 1.21E-01 1.85E+04 4.07E+14 1.75E+02 3.04E+00   19   0  1.98E-06 1.01E+01 1.10E+00
   5 1.29E-01 1.83E+04 4.08E+14 1.76E+02 3.05E+00   19   0  2.08E-06 1.02E+01 1.13E+00
   6 1.37E-01 1.82E+04 4.10E+14 1.77E+02 3.06E+00   19   0  2.19E-06 1.02E+01 1.15E+00
   7 1.46E-01 1.80E+04 4.12E+14 1.77E+02 3.07E+00   19   0  2.31E-06 1.03E+01 1.18E+00
   8 1.55E-01 1.79E+04 4.13E+14 1.78E+02 3.08E+00   19   0  2.43E-06 1.04E+01 1.20E+00
   9 1.65E-01 1.77E+04 4.15E+14 1.79E+02 3.10E+00   19   0  2.55E-06 1.04E+01 1.23E+00
  10 1.76E-01 1.76E+04 4.17E+14 1.80E+02 3.11E+00   19   0  2.69E-06 1.05E+01 1.25E+00
